nr	nbl	South Ndebele		isiNdebele seSewula
cr	cre	Cree		Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ
el	ell	Modern Greek (1453-)	Greek	Ελληνικά
oc	oci	Occitan (post 1500)	Occitan	occitan
ne	nep	Nepali (macrolanguage)	Nepali	नेपाली
sw	swh	Swahili (macrolanguage)	Swahili	Kiswahili
bn	ben	Bengali	Bangla	বাংলা
mi	mri	Maori	Māori	
zh-yue	yue	Yue Chinese	Cantonese	粵語
to	ton	Tonga (Tonga Islands)	Tongan	lea faka-Tonga
ff	ful	Fulah	Fula	Fulfulde
eml	egl	Emilian	Emiliano-Romagnolo	emiliàn e rumagnòl
ms	msa	Malay (macrolanguage)	Malay	Bahasa Melayu
ia	ina	Interlingua (International Auxiliary Language Association)	Interlingua	
arc	arc	Aramaic	Classical Syriac	 Imperial Aramaic (700-300 BCE)
rsk	rsk	Pannonian Rusyn		
